Date,Copper_Price_USD,Volume,YearMonth
2022-04-14,4.7170000076293945,982,2022-04
2022-04-18,4.796000003814697,498,2022-04
2022-04-19,4.714000225067139,573,2022-04
2022-04-20,4.649499893188477,859,2022-04
2022-04-21,4.703499794006348,614,2022-04
2022-04-22,4.582499980926514,663,2022-04
2022-04-25,4.448999881744385,494,2022-04
2022-04-26,4.440000057220459,359,2022-04
2022-04-27,4.454500198364258,24293,2022-04
2022-04-28,4.41349983215332,4363,2022-04
2022-04-29,4.394999980926514,1147,2022-04
2022-05-02,4.255499839782715,1034,2022-05
2022-05-03,4.270999908447266,878,2022-05
2022-05-04,4.328499794006348,1065,2022-05
2022-05-05,4.284999847412109,778,2022-05
2022-05-06,4.261499881744385,1207,2022-05
2022-05-09,4.192999839782715,1019,2022-05
2022-05-10,4.1545000076293945,908,2022-05
2022-05-11,4.212500095367432,723,2022-05
2022-05-12,4.105000019073486,783,2022-05
2022-05-13,4.180500030517578,1133,2022-05
2022-05-16,4.196499824523926,575,2022-05
2022-05-17,4.239500045776367,780,2022-05
2022-05-18,4.182000160217285,689,2022-05
2022-05-19,4.284999847412109,587,2022-05
2022-05-20,4.281000137329102,577,2022-05
2022-05-23,4.347499847412109,577,2022-05
2022-05-24,4.325500011444092,969,2022-05
2022-05-25,4.2769999504089355,503,2022-05
2022-05-26,4.255000114440918,842,2022-05
2022-05-27,4.303999900817871,1475,2022-05
2022-05-31,4.295000076293945,323,2022-05
2022-06-01,4.329999923706055,886,2022-06
2022-06-02,4.553999900817871,343,2022-06
2022-06-03,4.477499961853027,377,2022-06
2022-06-06,4.439499855041504,230,2022-06
2022-06-07,4.439499855041504,319,2022-06
2022-06-08,4.458499908447266,271,2022-06
2022-06-09,4.388999938964844,374,2022-06
2022-06-10,4.301000118255615,385,2022-06
2022-06-13,4.2164998054504395,718,2022-06
2022-06-14,4.161499977111816,454,2022-06
2022-06-15,4.167500019073486,687,2022-06
2022-06-16,4.111999988555908,564,2022-06
2022-06-17,4.017499923706055,657,2022-06
2022-06-21,4.043000221252441,453,2022-06
2022-06-22,3.9514999389648438,443,2022-06
2022-06-23,3.758500099182129,533,2022-06
2022-06-24,3.759999990463257,315,2022-06
2022-06-27,3.7790000438690186,375,2022-06
2022-06-28,3.7839999198913574,26394,2022-06
2022-06-29,3.7790000438690186,4697,2022-06
2022-06-30,3.7144999504089355,1292,2022-06
2022-07-01,3.61899995803833,1107,2022-07
2022-07-05,3.424999952316284,919,2022-07
2022-07-06,3.4179999828338623,927,2022-07
2022-07-07,3.5820000171661377,475,2022-07
2022-07-08,3.5320000648498535,639,2022-07
2022-07-11,3.4375,610,2022-07
2022-07-12,3.2964999675750732,525,2022-07
2022-07-13,3.325500011444092,417,2022-07
2022-07-14,3.2105000019073486,591,2022-07
2022-07-15,3.234499931335449,420,2022-07
2022-07-18,3.3480000495910645,558,2022-07
2022-07-19,3.2915000915527344,467,2022-07
2022-07-20,3.3294999599456787,598,2022-07
2022-07-21,3.302000045776367,486,2022-07
2022-07-22,3.3485000133514404,432,2022-07
2022-07-25,3.3510000705718994,588,2022-07
2022-07-26,3.382499933242798,367,2022-07
2022-07-27,3.429500102996826,784,2022-07
2022-07-28,3.4749999046325684,735,2022-07
2022-07-29,3.5840001106262207,724,2022-07
2022-08-01,3.552000045776367,326,2022-08
2022-08-02,3.5244998931884766,479,2022-08
2022-08-03,3.4695000648498535,225,2022-08
2022-08-04,3.4830000400543213,336,2022-08
2022-08-05,3.552999973297119,236,2022-08
2022-08-08,3.5875000953674316,176,2022-08
2022-08-09,3.5924999713897705,352,2022-08
2022-08-10,3.6554999351501465,246,2022-08
2022-08-11,3.7105000019073486,308,2022-08
2022-08-12,3.6760001182556152,367,2022-08
2022-08-15,3.628999948501587,366,2022-08
2022-08-16,3.6364998817443848,270,2022-08
2022-08-17,3.5980000495910645,289,2022-08
2022-08-18,3.6465001106262207,352,2022-08
2022-08-19,3.683500051498413,242,2022-08
2022-08-22,3.6705000400543213,351,2022-08
2022-08-23,3.7044999599456787,574,2022-08
2022-08-24,3.6605000495910645,539,2022-08
2022-08-25,3.7105000019073486,718,2022-08
2022-08-26,3.7114999294281006,472,2022-08
2022-08-29,3.626499891281128,22591,2022-08
2022-08-30,3.5450000762939453,7929,2022-08
2022-08-31,3.5185000896453857,1607,2022-08
2022-09-01,3.4144999980926514,969,2022-09
2022-09-02,3.4214999675750732,804,2022-09
2022-09-06,3.4690001010894775,785,2022-09
2022-09-07,3.437999963760376,668,2022-09
2022-09-08,3.5360000133514404,728,2022-09
2022-09-09,3.5810000896453857,655,2022-09
2022-09-12,3.625499963760376,462,2022-09
2022-09-13,3.5810000896453857,699,2022-09
2022-09-14,3.5455000400543213,525,2022-09
