Date,ZMW_per_USD,YearMonth
2015-10-27,0.08260367065668106,2015-10
2015-10-28,0.08257638663053513,2015-10
2015-10-29,0.08043757826089859,2015-10
2015-10-30,0.07984669506549835,2015-10
2015-11-02,0.07974481582641602,2015-11
2015-11-03,0.07984669506549835,2015-11
2015-11-04,0.080301932990551,2015-11
2015-11-05,0.07977662980556488,2015-11
2015-11-06,0.07900141924619675,2015-11
2015-11-09,0.07691124826669693,2015-11
2015-11-10,0.07315824180841446,2015-11
2015-11-11,0.07030865550041199,2015-11
2015-11-12,0.07306202501058578,2015-11
2015-11-13,0.08068419992923737,2015-11
2015-11-16,0.08329862356185913,2015-11
2015-11-17,0.08099133521318436,2015-11
2015-11-18,0.07852375507354736,2015-11
2015-11-19,0.08494733273983002,2015-11
2015-11-20,0.08707009255886078,2015-11
2015-11-23,0.08488964289426804,2015-11
2015-11-24,0.08525875955820084,2015-11
2015-11-25,0.08591064810752869,2015-11
2015-11-26,0.08722958713769913,2015-11
2015-11-27,0.0914996787905693,2015-11
2015-11-30,0.09708737581968307,2015-11
2015-12-01,0.09698380529880524,2015-12
2015-12-02,0.09723842144012451,2015-12
2015-12-03,0.09688045084476471,2015-12
2015-12-04,0.09911785274744034,2015-12
2015-12-07,0.09407337754964828,2015-12
2015-12-08,0.09453582763671875,2015-12
2015-12-09,0.0932227075099945,2015-12
2015-12-10,0.09278159588575363,2015-12
2015-12-11,0.09130752831697464,2015-12
2015-12-14,0.09197939932346344,2015-12
2015-12-15,0.09191176295280457,2015-12
2015-12-16,0.091182641685009,2015-12
2015-12-17,0.09148293733596802,2015-12
2015-12-18,0.09179364889860153,2015-12
2015-12-21,0.09180207550525665,2015-12
2015-12-22,0.09203866124153137,2015-12
2015-12-23,0.09172628819942474,2015-12
2015-12-24,0.09134922921657562,2015-12
2015-12-25,0.09176837652921677,2015-12
2015-12-28,0.09187798947095871,2015-12
2015-12-29,0.09145783632993698,2015-12
2015-12-30,0.09122423082590103,2015-12
2015-12-31,0.09147457033395767,2015-12
2016-01-01,0.09100837260484695,2016-01
2016-01-04,0.09103322774171829,2016-01
2016-01-05,0.0905551016330719,2016-01
2016-01-06,0.09122423082590103,2016-01
2016-01-07,0.09136592596769333,2016-01
2016-01-08,0.09176837652921677,2016-01
2016-01-11,0.09164223074913025,2016-01
2016-01-12,0.09071940928697586,2016-01
2016-01-13,0.09072763472795486,2016-01
2016-01-14,0.09100837260484695,2016-01
2016-01-15,0.09048955142498016,2016-01
2016-01-18,0.09022827446460724,2016-01
2016-01-19,0.08995232731103897,2016-01
2016-01-20,0.08971023559570312,2016-01
2016-01-21,0.08949346840381622,2016-01
2016-01-22,0.0890868529677391,2016-01
2016-01-25,0.08898380398750305,2016-01
2016-01-26,0.08952551335096359,2016-01
2016-01-27,0.08960573375225067,2016-01
2016-01-28,0.08953353017568588,2016-01
2016-01-29,0.08937349170446396,2016-01
2016-02-01,0.08849557489156723,2016-02
2016-02-02,0.08933357149362564,2016-02
2016-02-03,0.08907892554998398,2016-02
2016-02-04,0.0902201384305954,2016-02
2016-02-05,0.08896797150373459,2016-02
2016-02-08,0.08883361518383026,2016-02
2016-02-09,0.08918219804763794,2016-02
2016-02-10,0.08945344388484955,2016-02
2016-02-11,0.08855827152729034,2016-02
2016-02-12,0.08826903998851776,2016-02
2016-02-15,0.08816009759902954,2016-02
2016-02-16,0.0884799137711525,2016-02
2016-02-17,0.08831581473350525,2016-02
2016-02-18,0.08821453154087067,2016-02
2016-02-19,0.08822231739759445,2016-02
2016-02-22,0.0886053517460823,2016-02
2016-02-23,0.08824567496776581,2016-02
2016-02-24,0.08819897472858429,2016-02
2016-02-25,0.08868393301963806,2016-02
2016-02-26,0.08812125772237778,2016-02
2016-02-29,0.08755800873041153,2016-02
2016-03-01,0.08819897472858429,2016-03
2016-03-02,0.0880902037024498,2016-03
2016-03-03,0.08823010325431824,2016-03
2016-03-04,0.08877840638160706,2016-03
2016-03-07,0.08840951323509216,2016-03
2016-03-08,0.08823788911104202,2016-03
2016-03-09,0.08813679218292236,2016-03
2016-03-10,0.08823788911104202,2016-03
2016-03-11,0.08822231739759445,2016-03
2016-03-14,0.08851907402276993,2016-03
2016-03-15,0.08814455568790436,2016-03
2016-03-16,0.08823010325431824,2016-03
2016-03-17,0.08918219804763794,2016-03
2016-03-18,0.08836263418197632,2016-03
2016-03-21,0.08824567496776581,2016-03
2016-03-22,0.08854258805513382,2016-03
2016-03-23,0.08862891048192978,2016-03
2016-03-24,0.08848774433135986,2016-03
2016-03-25,0.08885730057954788,2016-03
2016-03-28,0.0888809859752655,2016-03
2016-03-29,0.0888809859752655,2016-03
2016-03-30,0.08893632143735886,2016-03
